I
1000 Generated by WorldEditor

1     62 1 0 YBAF Archerfield
100 30.00 1 0 1.20 0 2 0 10L -27.57033899  152.99726384    0    0 2 0 0 0 28R -27.57440306  153.01146705   53    0 2 0 0 0
100 16.98 1 0 1.20 0 0 0 10R -27.57211238  152.99808426    0    0 1 0 0 0 28L -27.57519091  153.00860282    0    0 1 0 0 0
100 30.00 15 0 1.40 0 0 0 04L -27.57092107  153.00187863    0    0 0 0 0 0 22R -27.56402862  153.01176064    0    0 0 0 0 0
100 30.00 15 0 1.40 0 0 0 04R -27.57166742  153.00449290    0    0 0 0 0 0 22L -27.56551373  153.01315344    0    0 0 0 0 0
102 H1 -27.56581922  153.01380232 142.76 19.00 19.00 1 0 0 1.00 0
102 H2 -27.57079012  153.00862254  98.37 42.00 42.00 3 0 0 1.00 0
102 H3 -27.56938096  153.00136943 106.77 8.00 8.00 2 0 0 1.00 0
110 1 1.00 107.3100 New Taxiway 70
111 -27.57395435  152.99985590
111 -27.57410922  152.99980251
111 -27.57425515  153.00045062
111 -27.57420783  153.00045863
111 -27.57421256  153.00051469
111 -27.57349089  153.00080564
111 -27.57347433  153.00076026
111 -27.57342701  153.00077094
111 -27.57307446  152.99961514
111 -27.57311231  152.99959912
111 -27.57309812  152.99953239
113 -27.57377796  152.99927108
110 2 1.00 107.7600 New Taxiway 124
111 -27.57020060  152.99994822
111 -27.57040778  153.00069625
111 -27.56987929  153.00087801
111 -27.56983740  153.00072731
111 -27.56980796  153.00073880
111 -27.56979891  153.00071070
111 -27.56983174  153.00070559
111 -27.56977966  153.00052807
111 -27.56975136  153.00054084
111 -27.56972985  153.00046677
111 -27.56976155  153.00046166
111 -27.56969475  153.00023561
111 -27.56966985  153.00024583
111 -27.56964947  153.00017814
111 -27.56967777  153.00017048
111 -27.56964594  153.00003422
111 -27.57014584  152.99986234
114 -27.57014584  152.99986234 -27.57018324  152.99990754
110 2 1.00 107.3100 New Taxiway 66
111 -27.56861893  152.99793878
111 -27.56884371  152.99785260
111 -27.56885517  152.99789576
111 -27.56893233  152.99818629
111 -27.56896450  152.99830427
111 -27.56898023  152.99836194
111 -27.56901425  152.99848503
111 -27.56903474  152.99855919
111 -27.56905649  152.99863788
111 -27.56910375  152.99880889
111 -27.56885105  152.99889341
111 -27.56881857  152.99878448
111 -27.56876232  152.99880419
111 -27.56874476  152.99874238
111 -27.56879980  152.99872152
111 -27.56879465  152.99870425
111 -27.56873967  152.99872447
111 -27.56872910  152.99868727
111 -27.56878384  152.99866798
111 -27.56874234  152.99852880
113 -27.56878053  152.99850891
110 2 1.00 9.5800 New Taxiway 61
111 -27.57227329  153.01021134
112 -27.57228451  153.01020301 -27.57228887  153.01020019
111 -27.57229822  153.01018192
111 -27.57233740  153.01000794
111 -27.57239216  153.00999438
111 -27.57237480  153.00986932
111 -27.57245761  153.00984973
111 -27.57247764  153.00997630
111 -27.57240418  153.00999438
111 -27.57237213  153.01019477
111 -27.57240854  153.01019066
111 -27.57241785  153.01024448
113 -27.57228932  153.01027011
110 2 1.00 9.5800 New Taxiway 60
111 -27.57261120  153.01008327
111 -27.57259250  153.00995520
111 -27.57267932  153.00993411
111 -27.57265661  153.00980754
111 -27.57276613  153.00978494
111 -27.57279018  153.00990849
111 -27.57291350  153.01037902
111 -27.57263568  153.01044450
111 -27.57262275  153.01036399
113 -27.57257915  153.01009231
110 2 1.00 9.5800 New Taxiway 52
111 -27.57652695  153.01309205
111 -27.57653040  153.01303214
111 -27.57680987  153.01298817
111 -27.57683392  153.01317810
111 -27.57655942  153.01322300
113 -27.57653528  153.01316930
110 2 1.00 9.5800 New Taxiway 51
111 -27.57648689  153.01284959
111 -27.57654162  153.01283295
111 -27.57653476  153.01277882
111 -27.57671374  153.01274899
111 -27.57674357  153.01293576
111 -27.57656467  153.01296580
111 -27.57655657  153.01291800
113 -27.57650267  153.01292219
110 2 1.00 9.5800 New Taxiway 65
111 -27.57659653  153.01079347
111 -27.57620968  153.01087398
111 -27.57619641  153.01080101
113 -27.57658697  153.01072160
110 2 1.00 9.5800 New Taxiway 64
111 -27.57668798  153.01044532
111 -27.57673533  153.01043025
111 -27.57671469  153.01031245
111 -27.57701751  153.01025997
111 -27.57706907  153.01061294
111 -27.57723439  153.01058687
111 -27.57725030  153.01073438
111 -27.57720158  153.01074942
111 -27.57720906  153.01081772
